hero_name,kills,assists,deaths
Invoker,7,10,4
Invoker,9,10,2
Shadow Fiend,10,8,10
Invoker,0,1,7
Shadow Fiend,4,7,3
Rubick,0,19,12
Invoker,2,12,5
Shadow Fiend,5,1,7
Invoker,5,21,9
Invoker,8,23,4
Invoker,6,28,3
Invoker,10,11,0
Rubick,3,12,8
Shadow Fiend,16,10,2
Invoker,17,25,3
Invoker,7,17,5
Invoker,4,1,6
Invoker,13,24,5
Rubick,1,5,9
Invoker,6,14,8
Invoker,5,25,5
Invoker,11,19,2
Invoker,4,4,9
Invoker,6,20,3
Rubick,6,10,4
Invoker,10,12,6
Invoker,2,6,8
Invoker,8,18,4
Rubick,2,6,3
Rubick,2,9,3
Rubick,6,3,11
Shadow Fiend,4,7,5
Shadow Fiend,6,12,6
Rubick,3,6,6
Invoker,3,16,3
Rubick,6,11,0
Rubick,4,15,12
Shadow Fiend,4,18,10
Rubick,6,12,10
Rubick,2,16,6
Shadow Fiend,10,13,3
Rubick,4,21,6
Shadow Fiend,9,11,6
Shadow Fiend,18,10,4
Rubick,1,2,8
Shadow Fiend,9,13,5
Shadow Fiend,8,12,4
Rubick,1,1,1
Rubick,2,9,6
